Kategorie;articleordernumber;Bild;Artikelname;EAN;Größe;Purchaseprice;UVP;VE;Menge;Gesamt;manufacturer
FLÜSSIGSEIFE;CDP69523;nan;Liquid Soap Marseille 495ml BLACK TEA;3551780695230;500ml;13,00 €;26,00 €;6;3.0;39,00 €;La compagnie de provence
FLÜSSIGSEIFE;CDP69422;nan;Liquid Soap Marseille 300ml WHITE TEA;3551780694226;300ml;11,00 €;22,00 €;6;3.0;33,00 €;La compagnie de provence
FLÜSSIGSEIFE;CDP69423;nan;Liquid Soap Marseille 300ml BLACK TEA;3551780694233;300ml;11,00 €;22,00 €;6;3.0;33,00 €;La compagnie de provence
HANDCREME;CDP69722;nan;Hand Cream 300ml WHITE TEA;3551780697227;300ml;16,50 €;33,00 €;6;3.0;49,50 €;La compagnie de provence
HANDCREME;CDP69723;nan;Hand Cream 300ml BLACK TEA;3551780697234;300ml;16,50 €;33,00 €;6;3.0;49,50 €;La compagnie de provence
FLÜSSIGSEIFE;PF0105SL300KA;nan;Liquid Soap Marseille 300ml KARITE | SHEA;3551780003462;300ml;11,00 €;22,00 €;6;3.0;33,00 €;La compagnie de provence
FLÜSSIGSEIFE;PF0105SL500KA;nan;Liquid Soap Marseille 495ml KARITE | SHEA;3551780002403;495ml;13,50 €;27,00 €;6;3.0;40,50 €;La compagnie de provence
FLÜSSIGSEIFE;PF0105SL01LKA;nan;Liquid Soap Marseille 1L Refill KARITE | SHEA;3551780003660;1000ml;18,00 €;36,00 €;6;nan; 	-     ;La compagnie de provence
FLÜSSIGSEIFE;PF0105SL03LKA;nan;Liquid Soap Marseille 3L Refill KARITE | SHEA(Wird erst auf Anfrage bestellt);3551780009723;3 L;42,50 €;85,00 €;3;nan; 	-     ;La compagnie de provence
HANDCREME;PF0105CM100KA;nan;Hand Cream 100ml KARITE | SHEA;3551780002410;100ml;12,50 €;25,00 €;6;3.0;37,50 €;La compagnie de provence
HANDCREME;PF0105CM030KA;nan;Hand Cream 30ml KARITE | SHEA;3551780002427;30ml;5,25 €;10,50 €;12;3.0;15,75 €;La compagnie de provence
KÖRPERPFLEGE;PF0105BC200KA;nan;Body Balm 200ml KARITE | SHEA;3551780007774;200ml;21,00 €;42,00 €;6;3.0;63,00 €;La compagnie de provence
KÖRPERPFLEGE;PF0105GC150KA;nan;Body Scrub 150ml KARITE | SHEA;3551780003165;150ml;20,00 €;40,00 €;6;3.0;60,00 €;La compagnie de provence
KÖRPERPFLEGE;PF0105GD300KA;nan;Cleansing Shower Oil 300ml KARITE | SHEA;3551780008368;300ml;13,00 €;26,00 €;6;3.0;39,00 €;La compagnie de provence
KÖRPERPFLEGE;PF0105HC100KA;nan;Ultra Nourishing Dry Oil 100ml KARITE | SHEA;3551780005268;100ml;23,50 €;47,00 €;6;3.0;70,50 €;La compagnie de provence
KÖRPERPFLEGE;PF0105ST005KA1;nan;Lip Balm 4,7g KARITE | SHEA;3551780004964;4,7g;5,00 €;10,00 €;25;25.0;125,00 €;La compagnie de provence
FLÜSSIGSEIFE;PF0117SL01LAL;nan;Liquid Soap Marseille 1L Refill ANISE LAVENDER;3551780008580;1000 ml;18,00 €;36,00 €;6;nan; 	-     ;La compagnie de provence
FLÜSSIGSEIFE;PF0117SL01LBA;nan;Liquid Soap Marseille 1L Refill MINT BASIL;3551780008658;1000 ml;18,00 €;36,00 €;6;nan; 	-     ;La compagnie de provence
FLÜSSIGSEIFE;PF0117SL500AL;nan;Liquid Soap Marseille 495ml ANISE LAVENDER;3551780008566;495 ml;13,50 €;27,00 €;6;3.0;40,50 €;La compagnie de provence
FLÜSSIGSEIFE;PF0117SL500BA;nan;Liquid Soap Marseille 495ml MINT BASIL;3551780008634;495 ml;13,50 €;27,00 €;6;3.0;40,50 €;La compagnie de provence
FLÜSSIGSEIFE;PF0117SL300AL;nan;Liquid Soap Marseille 300ml ANISE LAVENDER;3551780008573;300 ml;11,00 €;22,00 €;6;3.0;33,00 €;La compagnie de provence
FLÜSSIGSEIFE;PF0117SL300BA;nan;Liquid Soap Marseille 300ml MINT BASIL;3551780008641;300 ml;11,00 €;22,00 €;6;3.0;33,00 €;La compagnie de provence
HANDCREME;PF0117CM030AL;nan;Hand Cream 30ml ANISE LAVENDER;3551780008597;30 ml;5,25 €;10,50 €;12;6.0;31,50 €;La compagnie de provence
HANDCREME;PF0117CM030BA;nan;Hand Cream 30ml MINT BASIL;3551780008665;30 ml;5,25 €;10,50 €;12;6.0;31,50 €;La compagnie de provence
KÖRPERCREME;PF0117CC180AL;nan;Body Cream 180ml ANISE LAVENDER;3551780008603;180 ml;19,50 €;39,00 €;6;3.0;58,50 €;La compagnie de provence
KÖRPERCREME;PF0117CC180BA;nan;Body Cream 180ml MINT BASIL;3551780008672;180 ml;19,50 €;39,00 €;6;3.0;58,50 €;La compagnie de provence
KERZEN;PF0117BP150AL;nan;Scented Candle 150G ANISE LAVENDER;3551780008610;150 g;23,00 €;46,00 €;6;3.0;69,00 €;La compagnie de provence
KERZEN;PF0117BP150BA;nan;Scented Candle 150G MINT BASIL;3551780008689;150 g;23,00 €;46,00 €;6;3.0;69,00 €;La compagnie de provence
DIFFUSER;PF0117DP200AL;nan;Fragrance Diffuser 200ml ANISE LAVENDER;3551780008627;200 ml;25,50 €;51,00 €;6;3.0;76,50 €;La compagnie de provence
DIFFUSER;PF0117DP200BA;nan;Fragrance Diffuser 200ml MINT BASIL;3551780008696;200 ml;25,50 €;51,00 €;6;3.0;76,50 €;La compagnie de provence
