Kategorie;mainDetailNumber;Bild;name;mainDetailEAN;mainDetailweight;Purchaseprice;pseudoprice;purchaseunitdetail;Menge;Gesamt;description_long;product_photos;product_attributes
FLÜSSIGSEIFE;PF0101SL300BO;nan;Liquid Soap Marseille 300ml OLIVE WOOD;3551780000218;300ml;9,00 €;18,00 €;6;3.0; 	27,00 € ;Die Compagnie de Provence Liquid Marseille Soap Olive Wood wird nach alter Tradition in einem Kessel verseift und ist mit pflanzlichen Ölen von lokalen Produzenten angereichert. Sie verwandelt sich in einen leichten und cremigen Schaum der die Haut sanft reinigt. Eigenschaften der Compagnie de Provence Liquid Marseille Soap Olive Wood Mit dem sinnlichem holzigen Duft von Olivenholz Formel mit mindestens 95% der Inhaltsstoffe aus natürlichen Ursprung Mit Pflanzenölen wie Oliven- Traubenkern- & Süßmandelöl aus Frankreich Traditionell hergestellt Für häufiges Händewaschen geeignet Anwendung der Compagnie de Provence Liquid Marseille Soap Auf die feuchte Haut auftragen sanft reiben und gründlich abspülen. Auch für die Körperreinigung geeignet. Bei Kontakt mit den Augen diese gründlich ausspüen. Nur zur äußerlichen Anwendung. Über Compagnie de Provence 1990 haben sich zwei Freunde aus Marseille zusammen getan und Compagnie de Provence gegründet. Das Ziel war es die traditionelle Marseiller Seife den lokalen Schatz mit der ganzen Welt zu teilen. Die authentische Marseiller Seife ist aus pflanzlichen Ölen und frei von Farbstoffen und synthetischen Zusätzen. Sie ist für Hände und Körper geeignet aber auch zum Reinigen von Böden oder Wäsche. Inspiriert von den Vorteilen der ikonischen Seife stellt Compagnie De Provence Produkte für den täglichen Gebrauch mit simplen natürlichen und effektiven Inhaltsstoffen her.;['https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcSvTKewYw88GtY-tggbv1ovrwLtnUCg9ykpBcgOINnYk2bogbkejBSFGkeMafJHyuOl1FIIwHrb1g-bm8zdbJRNre2K4wUP&usqp=CAE', 'https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTBZWXgmBzgBkidE0k6_OD4PPrHY8JjDJs6iVPiqWakQEHfXCwOT10crXrP61TSbnMWH51VgAVaLFmhdVc6XNRnxigzMa7t&usqp=CAE', 'https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcSk-avszFEjbI8tmLxbn18A0BoUp-IytjuD4Mt5xHeVYU4YVyj01eKGoYGd5OHONLHku4ZOiWWx_69d1_yw0aTVDQERnVlU&usqp=CAE', 'https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSUH0l8QxvaRpAzbvqxB2SYoK17COTouICs_I2UIOuo2x4AnHzOSJVhOTut2a0uk0WMWcrXYjIfEM0-Hfs9FG0EjM-qQb_hyQ&usqp=CAE', 'https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRrhdjBS1TtTQwMMB_k_4xOJk9TfbucYMJvEN8DgXj_dRNVkKpCJhtvoR6g8ma9yv5uX1t9CdDrazI5A1pFkO-DAGog5Y3sEg&usqp=CAE'];{'Eigenschaften': 'Nachfüllpack, Feuchtigkeitsspendend'}
500 ml Flüssigseife;PF0101SL500RV;nan;Liquid Soap Marseille 495ml REVITALIZING ROSEMARY ;3551780007712;495ml;12,50 €;25,00 €;6;3.0; 	37,50 € ;Compagnie de Provence Savon Liquide Romarin Vitamine ist eine flüssige Handseife. Angereichert mit pflanzlichen Ölen. Unter anderem süßes Mandelöl, Kokosöl und Traubenkernöl. Die Seife verwandelt sich in einen feinen Schaum der die Haut sanft reinigt. Der Handseife ist sulfatfrei. Die 300 ml sind in einer recycelbaren Pumpflasche verpackt, die praktisch und unzerbrechlich ist. Die 500 ml sind in einer luxuriösen Glasflasche verpackt.;['https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQbQ73kenRsiGge_lapMjbhfC7fcF7jAC2_erWsz1j9wfHE-Ake_eiwAexpzxTOkeAI--7PSAi2JkMYA2AnJJvMFMaEGZMA&usqp=CAE', 'https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQvAISj6dyDea5jyHOkY7WindWeN8v_Oq8BytZe8I-4JViBiL_w1kVN0KBnMrkMczMTk5qCVQWXMGPRwzwZLAFZqPVCeHp2Jg&usqp=CAE'];{'Eigenschaften': 'Nachfüllpack, Feuchtigkeitsspendend'}
500 ml Flüssigseife;PF0101SL500ME;nan;Liquid Soap Marseille 495ml MEDITERRANEAN SEA;3551780000164;495ml;12,50 €;25,00 €;6;3.0; 	37,50 € ;Die Compagnie de Provence Liquid Marseille Soap Mediterranean Sea wird nach alter Tradition in einem Kessel verseift und ist mit pflanzlichen Ölen von lokalen Produzenten angereichert. Sie verwandelt sich in einen leichten und cremigen Schaum der die Haut sanft reinigt. Eigenschaften der Compagnie de Provence Liquid Marseille Soap Mediterranean Sea Mit dem frischen Duft des Mittelmeers Formel mit mindestens 95% der Inhaltsstoffe aus natürlichen Ursprung Mit Pflanzenölen wie Oliven- Traubenkern- & Süßmandelöl aus Frankreich Traditionell hergestellt Für häufiges Händewaschen geeignet Anwendung der Compagnie de Provence Liquid Marseille Soap Auf die feuchte Haut auftragen sanft reiben und gründlich abspülen. Auch für die Körperreinigung geeignet. Bei Kontakt mit den Augen diese gründlich ausspüen. Nur zur äußerlichen Anwendung. Über Compagnie de Provence 1990 haben sich zwei Freunde aus Marseille zusammen getan und Compagnie de Provence gegründet. Das Ziel war es die traditionelle Marseiller Seife den lokalen Schatz mit der ganzen Welt zu teilen. Die authentische Marseiller Seife ist aus pflanzlichen Ölen und frei von Farbstoffen und synthetischen Zusätzen. Sie ist für Hände und Körper geeignet aber auch zum Reinigen von Böden oder Wäsche. Inspiriert von den Vorteilen der ikonischen Seife stellt Compagnie De Provence Produkte für den täglichen Gebrauch mit simplen natürlichen und effektiven Inhaltsstoffen her.;['https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcS1FxpL26ADs-cFqtxB2mn_s-3ak_x5G8-EfQ5da01eh-DhNIfIiqqMZrFgWIdDQ2tGAeNZIwJtC8g1C2fZEF0rbxO3jWgPfw&usqp=CAE', 'https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSs19jLd00wpA1h-H46_k8B4AiiI_vHqbLxfXbhMbuyMghCpGeptdnjT3HV0mdZP72ge8VexU2GcimQT5qNY0VtUBzRIULZ&usqp=CAE', 'https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcStH99fvdq95slj9yqiB6X-SiP-JVlM_Bn-15e9Y8tGX0KhQ0W8bgDhHi6eOAt4MCTq9FBqThHkwqKT37NaV2iTk2FEWBSj&usqp=CAE', 'https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRSSlvDUp7GNkQFC6Dzt7nJVBE0MPANCjQVDEg1b4Ij60izASYJCSoKddF6zsmX8tWOzD0-YVZtGSp0owOXbRN0JDqU4Kdz&usqp=CAE', 'https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcR99xxeAQC5fyQ51S15FNn0rg-qfkKrwdLXn0SGXwgbwByuJLK9YwjZw4m2iRySMw2OYCRvC4NHJz488ZLxeGLNFaTKcdMPxQ&usqp=CAE', 'https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcS_tD31ySMyrOsSlAc_sELSwocVI5YPRxyf8-hLT-EA_LiZkJ0wJA59KPig-StVhWTvJUJ6DzyaYOf3LO7SBaRVHHq3-KF2&usqp=CAE', 'https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSUH0l8QxvaRpAzbvqxB2SYoK17COTouICs_I2UIOuo2x4AnHzOSJVhOTut2a0uk0WMWcrXYjIfEM0-Hfs9FG0EjM-qQb_hyQ&usqp=CAE', 'https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcR1OBOYD9MoTPAZ3bXrZq4_fOnzb9dDPSZJX64j4oVQ9Wndtcnj7LLY5Necr5-qCEYfG9eifL2yplf2kR41fTk6iUkLhNop9w&usqp=CAE', 'https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQ74SgbcI9AVcCGsIFZSLu1QdrxU769Ut8q2pZlsmZnvPxX4w4XnOoTgHhTy_OXw8r6MzHKGoDh37vVAXpWehytVXaQh-z-&usqp=CAE'];
500 ml Flüssigseife;PF0101SL500LA;nan;Liquid Soap Marseille 495ml AROMATIC LAVENDER;3551780000157;495ml;12,50 €;25,00 €;6;3.0; 	37,50 € ;Die flüssige Seife von Compagnie de Provence wird traditionell durch die Verseifung in einem Kessel hergestellt, wie schon ihr Vorfahre, der ikonische Seifenwürfel aus Marseille. Die Liquid Marseille Soap Aromatic Lavender verwandelt sich bei Kontakt mit Wasser in einen cremigen Schaum, der die Haut mit Oliven und Süßmandelöl aus der Provence und Traubenkernöl aus Frankreich effektiv reinigt. Die ultrasanfte Formel mit beruhigendem Lavendelduft eignet sich nicht nur optimal zum häufigen Händewaschen, sie kann auch hervorragend für die Reinigung des gesamten Körpers verwendet werden. Die Flüssigseife präsentiert sich in einer eleganten und farbenfrohen Pumpflasche aus Glas, ein echter Hingucker in Badezimmer und Küche. Sale | Sale jetzt versandkostenfrei bei Zalando.de bestellen! Größe: 500 ml. Farbe: Aromatic lavender. Geschlecht: Damen. Altersgruppe: Erwachsene.;['https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRxy1KKOhWpqLFTQBKrmSKYzD6TXPkcKZsXBziasp9BnRYMLNDCxgyvj8dRt3cETUEvUVW9NDREGwps0r0jk7mJSk072hSm2A&usqp=CAE'];
500 ml Flüssigseife;PF0101SL500FI;nan;Liquid Soap Marseille 495ml FIG OF PROVENCE;3551780000133;495ml;12,50 €;25,00 €;6;3.0; 	37,50 € ;Die nach traditionellen Methoden gefertigte Liquid Marseille Soap Fig of Provence von La Compagnie de Provence zhlt zu den Flssigseifen der besonderen Art. Die Flssigseife ist mit verschiedenen len angereichert und berzeugt gleichzeitig mit einer sen, fruchtigen Note nach frischer Feige. Zu den Inhaltsstoffen zhlt zum Beispiel feines Smandell aus der Provence, das die Haut vor dem Austrocknen schtzt. Kokosl aus getrocknetem Fruchtfleisch sorgt fr eine cremige Textur und wirkt pflegend und schtzend. Das verwendete Traubenkernl ist reich an Omega-6-Suren und schtzt die Haut der Hnde vor vorzeitiger Alterung.Flssigseifen aus der Provence zur nachhaltigen Reinigung und PflegeDie Liquid Marseille Soap Fig of Provence wird von La Compagnie de Provence in einer praktischen PET-Pumpflasche prsentiert, die nachfllbar ist. Fr die Reinigung der Hnde sind ein oder zwei Pumpste ausreichend. Die Flssigseife bildet in Verbindung mit lauwarmem Wasser einen feinen Schaum, der herrlich s duftet. Die Handseife ist auch fr die tgliche Krperpflege geeignet. Die Liquid Marseille Soap Fig of Provence von La Compagnie de Provence besteht zu mindestens 95 Prozent aus natrlichen Inhaltsstoffen. Die Flssigseife ist fr alle normalen Hauttypen geeignet.;['https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcREaqIbU6qJKXaUzh8KJnD5mEYKLLPCMdhRGnFm6p02SkZF92o6AwpP4N65rimei7ActzAkzY0dqSPjFjfsgwk8MvuPi4b2cg&usqp=CAE', 'https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcS9v4TYKOt95tEGuG90YUcozZxNgv4cliN5fuaFKc746wXiAUfDh3gJ64Krs6mx_Zq2MenDVDrCbBwsI4bL9-JTUJh4dve0&usqp=CAE', 'https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTJ4kZaVFJgZsYh8OUvaIj4ngtdhbI0rn0o_gUjGgMW9Snof_RAlWNnIrLLOV0GJdp3K_QaNND8_uCcGRuEH15zj2c0RnCA2g&usqp=CAE', 'https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQSsNzE39HErKU5_mkcN_XrtZj2QFHuiwpY_XjjWyLD0t6D1bN9zpLCydZ9MvSDTWFC9RJqcvRlD_epJ8QmmTzaFrJu_2Or&usqp=CAE', 'https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcSuANkGR-dgVtBiV0IC6EnAJODkRFOOblT3vfBwyzqs5F6GErwE7UK4VSboZZVuY3zXhuqEC0M7fGtTuEIcenQ4eUjYpH_7qw&usqp=CAE'];
500 ml Flüssigseife;PF0101SL500RO;nan;Liquid Soap Marseille 495ml WILD ROSE;3551780000195;495ml;12,50 €;25,00 €;6;3.0; 	37,50 € ;Die Compagnie de Provence Liquid Marseille Soap Wild Rose wird nach alter Tradition in einem Kessel verseift und ist mit pflanzlichen Ölen von lokalen Produzenten angereichert. Sie verwandelt sich in einen leichten und cremigen Schaum, der die Haut sanft reinigt. Eigenschaften der Compagnie de Provence Liquid Marseille Soap Wild Rose Mit dem sinnlichen Duft von Rosen Formel mit mindestens 95% der Inhaltsstoffe aus natürlichen Ursprung Mit Pflanzenölen wie Oliven-, Traubenkern- & Süßmandelöl aus Frankreich Traditionell hergestellt Für häufiges Händewaschen geeignet Anwendung der Compagnie de Provence Liquid Marseille Soap Auf die feuchte Haut auftragen, sanft reiben und gründlich abspülen. Auch für die Körperreinigung geeignet. Bei Kontakt mit den Augen, diese gründlich ausspüen. Nur zur äußerlichen Anwendung. Über Compagnie de Provence 1990 haben sich zwei Freunde aus Marseille zusammen getan und Compagnie de Provence gegründet. Das Ziel war es die traditionelle Marseiller Seife, den lokalen Schatz, mit der ganzen Welt zu teilen. Die authentische Marseiller Seife ist aus pflanzlichen Ölen und frei von Farbstoffen und synthetischen Zusätzen. Sie ist für Hände und Körper geeignet, aber auch zum Reinigen von Böden oder Wäsche. Inspiriert von den Vorteilen der ikonischen Seife, stellt Compagnie De Provence Produkte für den täglichen Gebrauch mit simplen, natürlichen und effektiven Inhaltsstoffen her.;['https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSrGDD_yQkMU-65dZ0JSBDt0JFkWntdu1dnKckCd8_Eli4z6ScV4a24NbC1HhTMt-1Zww3_njCWtMVAHCmDCobmJ0v3NTkyrg&usqp=CAE', 'https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQCeXhI4QWseSzvX4Y19mqE3KgUfpWk-9lglenjLkt3AhcwNKvaxNvNgsLR4CepLMdAtMUb2MOHyYEyIfRRsWDsPO2JY05s&usqp=CAE', 'https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcT0xu2dUSk5_taELCII47gbrJpbi67PQ1QznOlgOr-poBQPM-k6UyO1grTtZvcepUrWfhfDVNB-1KeDYn3Y9eDU0xNBIK__5Q&usqp=CAE', 'https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQjRzODFfNi9WsaHdmuPkqXWJ4kRPCkCeMqycBdwdpL8ULXMbUS3jCEoACRfXnRKhihTcI9GX1eKi_gIc1TxdZYMQ38MRlv&usqp=CAE', 'https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTyVIdAtXEQLhM4xEECWsCUsqMfZSZROT8O6t_Gqlw9OnNPzYWNVDpfFA-iD1q2g9TxtXy1tFFBM_2yIlq8tbPb2XW-QG8W3w&usqp=CAE', 'https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSLsFWqfAgqdXuGfFhRMTXqltWxqU5RLW9UwD1zyAKhI59KKIQHgeZU94tm4kZkATq6ZE0upFWIQAL7-vSxH365lpVZAANG7Q&usqp=CAE', 'https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSUH0l8QxvaRpAzbvqxB2SYoK17COTouICs_I2UIOuo2x4AnHzOSJVhOTut2a0uk0WMWcrXYjIfEM0-Hfs9FG0EjM-qQb_hyQ&usqp=CAE'];{'Eigenschaften': 'Nachfüllpack'}
500 ml Flüssigseife;PF0101SL500VE;nan;Liquid Soap Marseille 495ml FRESH VERBENA;3551780000201;495ml;12,50 €;25,00 €;6;3.0; 	37,50 € ;Die flüssige Seife von Compagnie de Provence wird traditionell durch die Verseifung in einem Kessel hergestellt, wie schon ihr Vorfahre, der ikonische Seifenwürfel aus Marseille. Die Liquid Marseille Soap Fresh Verbena verwandelt sich bei Kontakt mit Wasser in einen cremigen Schaum, der die Haut mit pflanzlichen Ölen wie Oliven und Süßmandelöl aus der Provence und Traubenkernöl aus Frankreich effektiv reinigt. Die ultrasanfte Formel mit dem Duft von frischem, zitronigem Eisenkraut eignet sich optimal zum häufigen Händewaschen und für die Reinigung des gesamten Körpers. Die Flüssigseife präsentiert sich in einer eleganten und farbenfrohen Pumpflasche aus Glas, ein echter Hingucker in Badezimmer und Küche. Beauty | Beauty jetzt versandkostenfrei bei Zalando.de bestellen! Größe: 500 ml. Farbe: Fresh verbena. Geschlecht: Damen. Altersgruppe: Erwachsene.;['https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcT8jmnKUKIz_MMg9xKFBEV7bM7956tqER2LKddZD3ddZ7hN21nqI7_7db-MnrTeeoxDe8mWpoKTPNtEw-sDB-aX1aVRq-H8mQ&usqp=CAE'];
500 ml Flüssigseife;PF0101SL500PA;nan;Liquid Soap Marseille 495ml PINK GRAPEFRUIT;3551780000188;495ml;12,50 €;25,00 €;6;3.0; 	37,50 € ;Die Compagnie de Provence Liquid Marseille Soap Pink Grapefruit wird nach alter Tradition in einem Kessel verseift und ist mit pflanzlichen Ölen von lokalen Produzenten angereichert. Sie verwandelt sich in einen leichten und cremigen Schaum, der die Haut sanft reinigt. Eigenschaften der Compagnie de Provence Liquid Marseille Soap Pink Grapefruit Mit dem frischen, fruchtigen Duft von pinker Grapefruit Formel mit mindestens 95% der Inhaltsstoffe aus natürlichen Ursprung Mit Pflanzenölen wie Oliven-, Traubenkern- & Süßmandelöl aus Frankreich Traditionell hergestellt Für häufiges Händewaschen geeignet Anwendung der Compagnie de Provence Liquid Marseille Soap Auf die feuchte Haut auftragen, sanft reiben und gründlich abspülen. Auch für die Körperreinigung geeignet. Bei Kontakt mit den Augen, diese gründlich ausspüen. Nur zur äußerlichen Anwendung. Über Compagnie de Provence 1990 haben sich zwei Freunde aus Marseille zusammen getan und Compagnie de Provence gegründet. Das Ziel war es die traditionelle Marseiller Seife, den lokalen Schatz, mit der ganzen Welt zu teilen. Die authentische Marseiller Seife ist aus pflanzlichen Ölen und frei von Farbstoffen und synthetischen Zusätzen. Sie ist für Hände und Körper geeignet, aber auch zum Reinigen von Böden oder Wäsche. Inspiriert von den Vorteilen der ikonischen Seife, stellt Compagnie De Provence Produkte für den täglichen Gebrauch mit simplen, natürlichen und effektiven Inhaltsstoffen her.;['https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSv9Qs2wMHMBSrjVD2yr3lUEpgtBzF9Xtf_iDIISzClx4HIsWMl&usqp=CAE', 'https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcT4nxhWYhHLqYqA0Mk_X8wLrKBkO4k9D6XRQ4m3h1ZnbZZmxeK4VReh4NqZgnygTJrLVtvtrIpfR4rO3iGv3WVufypupKWxug&usqp=CAE', 'https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRCw35fd128nCQURFFI-t-fb-TCLqTIhaJihzMKOhu76sQQCBkHyEx5yjGt-6Ia35LavdOd4R0OZYK2mWqMyqWKKtW_np34&usqp=CAE', 'https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQx9rZzDg9TULhZsnVbvJPtf0R9JBfhd-OZ3jWrVndTwm6quloBf3J2YO5Qg7Nl1ePUwmZtC7hUc9-xVerLrEP4riuMJPNHWw&usqp=CAE', 'https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTP6HOYt-PUzXsPVaf3Afc7OZmSFsXTpRjFCrUknSY-vb5VS0mVgMOJOC9xV6je2TBqDv2x8pWj79LFqL2sJR4LeKnylr6d&usqp=CAE', 'https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRFXLJueIk4uZpei8z4wsy6qdq_KMO4YN8bzef4qzkNhUn42CxSTx-HVoGrylncajNRE5xuW36QABUIRmJpbPiYU7j8udPt&usqp=CAE'];{'Eigenschaften': 'Nachfüllpack, Feuchtigkeitsspendend'}
500 ml Flüssigseife;PF0101SL500CO;nan;Liquid Soap Marseille 495ml COTTON FLOWER;3551780000126;495ml;12,50 €;25,00 €;6;3.0; 	37,50 € ;Die flüssige Seife von Compagnie de Provence wird traditionell durch die Verseifung in einem Kessel hergestellt, wie schon ihr Vorfahre, der ikonische Seifenwürfel aus Marseille. Die Liquid Marseille Soap Cotton Flower verwandelt sich bei Kontakt mit Wasser in einen cremigen Schaum, der die Haut mit Oliven und Süßmandelöl aus der Provence und Traubenkernöl aus Frankreich effektiv reinigt. Die ultrasanfte Formel eignet sich nicht nur optimal zum häufigen Händewaschen, sie kann auch hervorragend für die Reinigung des gesamten Körpers verwendet werden. Der blumige, zarte und pudrige Duft der Seife umhüllt die Sinne und erinnert auf wunderbare Weise an die einzigartige Weichheit von Baumwolle. Liquid Marseille Soap Cotton Flower präsentiert sich in einer eleganten und farbenfrohen Pumpflasche aus Glas, ein echter Hingucker in Badezimmer und Küche. Beauty | Beauty jetzt versandkostenfrei bei Zalando.de bestellen! Größe: 500 ml. Farbe: Cotton flower. Geschlecht: Damen. Altersgruppe: Erwachsene.;['https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQsAx-WZjLxB4JflhAoDrrD4g6BhxMNpaE_Owz5uktjW9TKmPiNVHrPugFjDcXqdhawRzSvR_rQmkS887HtVRDnEYteRJuXDg&usqp=CAE'];
500 ml Flüssigseife;PF0101SL500BO;nan;Liquid Soap Marseille 495ml OLIVE WOOD;3551780000119;495ml;12,50 €;25,00 €;6;3.0; 	37,50 € ;Die Compagnie de Provence Liquid Marseille Soap Olive Wood wird nach alter Tradition in einem Kessel verseift und ist mit pflanzlichen Ölen von lokalen Produzenten angereichert. Sie verwandelt sich in einen leichten und cremigen Schaum, der die Haut sanft reinigt. Eigenschaften der Compagnie de Provence Liquid Marseille Soap Olive Wood Mit dem sinnlichen, holzigen Duft von Olivenholz Formel mit mindestens 95% der Inhaltsstoffe aus natürlichen Ursprung Mit Pflanzenölen wie Oliven-, Traubenkern- & Süßmandelöl aus Frankreich Traditionell hergestellt Für häufiges Händewaschen geeignet Anwendung der Compagnie de Provence Liquid Marseille Soap Auf die feuchte Haut auftragen, sanft reiben und gründlich abspülen. Auch für die Körperreinigung geeignet. Bei Kontakt mit den Augen, diese gründlich ausspüen. Nur zur äußerlichen Anwendung. Über Compagnie de Provence 1990 haben sich zwei Freunde aus Marseille zusammen getan und Compagnie de Provence gegründet. Das Ziel war es die traditionelle Marseiller Seife, den lokalen Schatz, mit der ganzen Welt zu teilen. Die authentische Marseiller Seife ist aus pflanzlichen Ölen und frei von Farbstoffen und synthetischen Zusätzen. Sie ist für Hände und Körper geeignet, aber auch zum Reinigen von Böden oder Wäsche. Inspiriert von den Vorteilen der ikonischen Seife, stellt Compagnie De Provence Produkte für den täglichen Gebrauch mit simplen, natürlichen und effektiven Inhaltsstoffen her.;['https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQhyY5_qfNHVJShxqnZ3F2gwKnyuuOUvmCnVbqNOrzj3jRxL2nON_ZPyU7b7Z8FHwUzXkHxOGMbv77RC_SJtrJ4qbxrVmtIEw&usqp=CAE', 'https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRWUyPLhjH6ggqoIVsla3JmUEy9kW4J9_NeFFFLPfnQX3dzsrkuMbZjBECtXchkmBBuatHCEx41VUGB7YMMyB9-NT2EjvTZ&usqp=CAE', 'https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQnLfSsDDd-uppX-aq1HuHmSsXTx_AV-Lajt2jks2Pjwu_2R6_4dX7S7IqrqoBdcVOnqM40X9kyz8acGHauVakjwOcah7QJ&usqp=CAE', 'https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSzHJTWYh_CbpsTyFf_JB-3HkhK_lmecwGOW07byLnIhqYHT0zWHLHdWx4Ue-zgpQ2CoYK9B0avEetdxfeW_YEypCdZ_JvK&usqp=CAE', 'https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcSk-avszFEjbI8tmLxbn18A0BoUp-IytjuD4Mt5xHeVYU4YVyj01eKGoYGd5OHONLHku4ZOiWWx_69d1_yw0aTVDQERnVlU&usqp=CAE', 'https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSUH0l8QxvaRpAzbvqxB2SYoK17COTouICs_I2UIOuo2x4AnHzOSJVhOTut2a0uk0WMWcrXYjIfEM0-Hfs9FG0EjM-qQb_hyQ&usqp=CAE', 'https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcR4D8bPIjyBNFGk9vbl-VL5YXFlpgMn9eEzboVThklySqso2drO9VcWqjdvUXeSg9RFps6_iqvaXJaGt-HxwkRZ0gJ0iZDa&usqp=CAE'];{'Eigenschaften': 'Nachfüllpack, Feuchtigkeitsspendend'}
1000 ml Flüssigseife-Refill;PF0101SL01LRV;nan;Liquid Soap Marseille 1L Refill REVITALIZING ROSEMARY ;3551780007705;1000ml;17,00 €;34,00 €;6;nan; 	-     ;Compagnie de Provence Savon Liquide Romarin Vitamine ist eine flüssige Handseife. Angereichert mit pflanzlichen Ölen. Unter anderem süßes Mandelöl, Kokosöl und Traubenkernöl. Die Seife verwandelt sich in einen feinen Schaum der die Haut sanft reinigt. Dies ist eine Nachfüllverpackung.;['https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQk6Pc2IRm9O8XdMoDR3z6pY1v8sNAU7UXu4jZOpbFHjWkqUQgAb7BMPooxGOa6e6hDnbNwLLWLzTY0LGJE5iuTARQOlHnxSA&usqp=CAE', 'https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQJr0jmME5UGVJtHYS9zRjsLAUH4AUUju7jHX58v57fzkafKzjzEPZvQAS14rj1etMp393DnmUIYxUqIk5tQOBRHYu_UtVBCQ&usqp=CAE', 'https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRYTM6gm8AiFu9UQC7dipf2ywpYIRuSGaRSlgylDT-p5dHN9wQhjtZbXYEurnVeKSf2wcr5G6Cgp2bB6KJbIf92z4laHS_84w&usqp=CAE', 'https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRZkEcblC_L4Lq4YWNm-JsJXeHv159T7WTOjllc8HXQmL-4XslkdbxBjkCCYCui5xl_TW-h8nsNZU4Kxf6nc6AxwYUxJUXXTQ&usqp=CAE'];
